ROLL_NO,REGISTRATION_NUMBER,GENDER,STRATUM,SCHOOL_NAT,SCHOOL_TYPE,DSBDA,CC,AI,WT,EM-3,ACADEMIC_PROGRAM,TOTAL_MARKS
47,SB11201210036911,F,Stratum 5,PRIVATE,ACADEMIC,63,60,59,75,80,INDUSTRIAL ENGINEERING,337
48,SB11201210037059,M,Stratum 4,PRIVATE,TECHNICAL,47,36,41,44,40,MECHANICAL ENGINEERING,208
49,SB11201210037082,M,Stratum 3,PRIVATE,TECHNICAL,2,1,0,3,0,INDUSTRIAL ENGINEERING,6
50,SB11201210037275,F,Stratum 6,PRIVATE,ACADEMIC,56,51,39,60,55,INDUSTRIAL ENGINEERING,261
51,SB11201210037357,M,Stratum 5,PRIVATE,ACADEMIC,69,60,76,71,92,INDUSTRIAL ENGINEERING,368
52,SB11201210037436,M,Stratum 5,PRIVATE,ACADEMIC,67,81,56,73,78,INDUSTRIAL ENGINEERING,355
53,SB11201210037523,F,Stratum 3,PRIVATE,TECHNICAL,65,51,45,63,55,INDUSTRIAL ENGINEERING,279
54,SB11201210037798,M,Stratum 3,PRIVATE,TECHNICAL,54,49,42,55,40,CIVIL ENGINEERING,240
55,SB11201210037866,M,Stratum 3,PRIVATE,TECHNICAL,69,63,58,61,50,ELECTRONIC ENGINEERING,301
56,SB11201210038129,F,Stratum 2,PRIVATE,TECHNICAL,63,62,57,56,64,INDUSTRIAL ENGINEERING,302
57,SB11201210038205,M,Stratum 6,PRIVATE,ACADEMIC,64,65,61,64,78,MECHANICAL ENGINEERING,332
58,SB11201210038274,F,Stratum 5,PRIVATE,TECHNICAL,60,60,59,67,70,INDUSTRIAL ENGINEERING,316
59,SB11201210038359,M,Stratum 2,PRIVATE,ACADEMIC,80,75,61,81,96,ELECTRONIC ENGINEERING,393
60,SB11201210038682,M,Stratum 3,PRIVATE,TECHNICAL,69,67,78,100,62,CHEMICAL ENGINEERING,376
61,SB11201210038861,M,Stratum 3,PRIVATE,ACADEMIC,60,60,61,61,59,INDUSTRIAL ENGINEERING,
62,SB11201210039098,M,Stratum 5,PRIVATE,ACADEMIC,65,47,29,56,54,CIVIL ENGINEERING,251
63,SB11201210039571,M,Stratum 5,PRIVATE,ACADEMIC,74,81,61,75,82,INDUSTRIAL ENGINEERING,373
64,SB11201210039622,M,Stratum 3,PRIVATE,ACADEMIC,60,60,65,70,75,ELECTRIC ENGINEERING,330
65,SB11201210047391,M,Stratum 5,PRIVATE,ACADEMIC,74,62,56,64,73,INDUSTRIAL ENGINEERING,329
66,SB11201210048622,M,Stratum 2,PRIVATE,TECHNICAL/ACADEMIC,69,62,68,73,46,ELECTRIC ENGINEERING AND TELECOMMUNICATIONS,318
67,SB11201210048704,M,Stratum 3,PRIVATE,ACADEMIC,65,51,51,61,53,ELECTRONIC ENGINEERING,281
68,SB11201210048792,M,Stratum 3,PRIVATE,ACADEMIC,67,67,68,58,75,ELECTRIC ENGINEERING,335
69,SB11201210048818,M,Stratum 4,PRIVATE,ACADEMIC,67,58,59,58,78,INDUSTRIAL ENGINEERING,320
70,SB11201210048827,F,Stratum 2,PRIVATE,ACADEMIC,77,81,68,66,73,CIVIL ENGINEERING,365
71,SB11201210048937,F,Stratum 4,PRIVATE,ACADEMIC,67,58,56,61,49,INDUSTRIAL ENGINEERING,291
72,SB11201210048989,M,Stratum 4,PRIVATE,ACADEMIC,72,75,68,70,71,INDUSTRIAL ENGINEERING,356
73,SB11201210051179,F,Stratum 2,PRIVATE,ACADEMIC,54,55,59,58,55,CIVIL ENGINEERING,281
74,SB11201210051419,F,Stratum 2,PRIVATE,ACADEMIC,61,67,57,63,44,INDUSTRIAL ENGINEERING,292
75,SB11201210053261,M,Stratum 6,PRIVATE,ACADEMIC,71,63,56,72,88,INDUSTRIAL ENGINEERING,350
76,SB11201210053277,F,Stratum 3,PRIVATE,ACADEMIC,72,49,59,63,92,CIVIL ENGINEERING,335
77,SB11201210053329,M,Stratum 5,PRIVATE,ACADEMIC,80,67,68,81,80,INDUSTRIAL ENGINEERING,
78,SB11201210053371,M,Stratum 6,PRIVATE,ACADEMIC,73,68,63,72,82,INDUSTRIAL ENGINEERING,358
79,SB11201210053386,M,Stratum 3,PRIVATE,ACADEMIC,63,58,39,64,76,MECHANICAL ENGINEERING,300
80,SB11201210053432,M,Stratum 5,PRIVATE,ACADEMIC,72,60,65,64,78,CIVIL ENGINEERING,339
81,SB11201210053437,M,Stratum 4,PRIVATE,ACADEMIC,62,62,56,65,71,ELECTRIC ENGINEERING AND TELECOMMUNICATIONS,316
82,SB11201210053537,M,Stratum 6,PRIVATE,ACADEMIC,72,65,56,66,96,INDUSTRIAL ENGINEERING,355
83,SB11201210053568,F,Stratum 5,PRIVATE,ACADEMIC,56,60,49,44,64,CIVIL ENGINEERING,273
84,SB11201210053574,M,Stratum 4,PRIVATE,ACADEMIC,51,54,48,48,39,INDUSTRIAL ENGINEERING,240
85,SB11201210053786,F,Stratum 4,PRIVATE,ACADEMIC,51,49,48,57,59,MECHANICAL ENGINEERING,264
86,SB11201210053799,F,Stratum 6,PRIVATE,ACADEMIC,74,60,57,68,80,ELECTRIC ENGINEERING,339
87,SB11201210053825,F,Stratum 1,PRIVATE,ACADEMIC,55,68,56,55,62,INDUSTRIAL ENGINEERING,296
88,SB11201210053890,M,Stratum 6,PRIVATE,ACADEMIC,67,62,59,75,88,ELECTRIC ENGINEERING,351
89,SB11201210053912,M,Stratum 6,PRIVATE,ACADEMIC,72,52,48,61,82,INDUSTRIAL ENGINEERING,315
90,SB11201210054706,M,Stratum 6,PRIVATE,ACADEMIC,74,81,83,85,92,MECHANICAL ENGINEERING,415
91,SB11201210054712,M,Stratum 4,PRIVATE,ACADEMIC,74,62,68,75,88,INDUSTRIAL ENGINEERING,367
92,SB11201210054864,M,Stratum 3,PRIVATE,ACADEMIC,54,54,45,55,49,INDUSTRIAL ENGINEERING,257
93,SB11201210054887,F,Stratum 3,PRIVATE,ACADEMIC,53,52,36,49,64,CIVIL ENGINEERING,254
94,SB11201210055143,F,Stratum 2,PRIVATE,ACADEMIC,46,67,53,58,100,INDUSTRIAL ENGINEERING,324
95,SB11201210055580,M,Stratum 2,PRIVATE,ACADEMIC,54,57,45,51,40,INDUSTRIAL ENGINEERING,247
96,SB11201210056012,F,Stratum 3,PRIVATE,ACADEMIC,80,62,59,64,75,CIVIL ENGINEERING,340
97,SB11201210056040,F,Stratum 6,PRIVATE,ACADEMIC,74,55,66,64,80,INDUSTRIAL ENGINEERING,339
98,SB11201210056461,M,Stratum 4,PRIVATE,ACADEMIC,63,53,51,52,73,CHEMICAL ENGINEERING,292
99,SB11201210056474,M,Stratum 4,PRIVATE,ACADEMIC,61,60,59,55,76,INDUSTRIAL ENGINEERING,311
100,SB11201210056571,M,Stratum 5,PRIVATE,ACADEMIC,63,75,53,75,88,MECHANICAL ENGINEERING,354
101,SB11201210056780,M,Stratum 5,PRIVATE,ACADEMIC,67,43,48,68,85,CIVIL ENGINEERING,311
102,SB11201210057000,M,Stratum 3,PRIVATE,ACADEMIC,83,81,68,81,82,CHEMICAL ENGINEERING,395
103,SB11201210057063,M,Stratum 4,PRIVATE,ACADEMIC,67,62,45,64,70,INDUSTRIAL ENGINEERING,
104,SB11201210057105,M,Stratum 4,PRIVATE,ACADEMIC,77,75,61,81,100,MECHANICAL ENGINEERING,394
105,SB11201210057316,F,Stratum 6,PRIVATE,ACADEMIC,71,67,64,68,88,INDUSTRIAL ENGINEERING,358
106,SB11201210057738,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,62,53,50,52,49,INDUSTRIAL ENGINEERING,266
107,SB11201210057801,F,Stratum 4,PRIVATE,ACADEMIC,83,65,76,85,92,ELECTRONIC ENGINEERING,401
108,SB11201210057900,M,Stratum 5,PRIVATE,TECHNICAL/ACADEMIC,67,75,72,78,96,MECHANICAL ENGINEERING,388
109,SB11201210057946,M,Stratum 3,PRIVATE,ACADEMIC,74,64,59,75,96,AERONAUTICAL ENGINEERING,368
110,SB11201210058206,F,Stratum 3,PRIVATE,ACADEMIC,65,62,57,63,82,MECHANICAL ENGINEERING,329
111,SB11201210058706,M,Stratum 5,PRIVATE,ACADEMIC,83,75,61,70,92,CIVIL ENGINEERING,381
112,SB11201210058734,M,Stratum 3,PRIVATE,ACADEMIC,77,75,72,75,88,CIVIL ENGINEERING,387
113,SB11201210058839,M,Stratum 3,PRIVATE,ACADEMIC,67,62,57,75,82,CHEMICAL ENGINEERING,343
114,SB11201210058850,M,Stratum 3,PRIVATE,ACADEMIC,39,57,61,48,42,INDUSTRIAL ENGINEERING,247
115,SB11201210058879,M,Stratum 3,PRIVATE,ACADEMIC,54,53,55,46,60,CIVIL ENGINEERING,268
116,SB11201210058989,M,Stratum 3,PUBLIC,ACADEMIC,58,58,48,60,50,MECHATRONICS ENGINEERING,274
117,SB11201210059017,M,Stratum 6,PRIVATE,ACADEMIC,69,65,68,78,85,ELECTRONIC ENGINEERING,365
118,SB11201210059108,M,Stratum 6,PRIVATE,ACADEMIC,80,81,78,100,96,INDUSTRIAL ENGINEERING,435
119,SB11201210059903,M,Stratum 3,PRIVATE,ACADEMIC,48,53,49,52,50,INDUSTRIAL ENGINEERING,252
120,SB11201210060051,M,Stratum 6,PRIVATE,ACADEMIC,67,60,74,64,82,CIVIL ENGINEERING,347
121,SB11201210060069,M,Stratum 4,PRIVATE,ACADEMIC,83,71,66,72,88,INDUSTRIAL ENGINEERING,380
122,SB11201210071393,M,Stratum 6,PRIVATE,ACADEMIC,80,55,47,72,85,INDUSTRIAL ENGINEERING,339
123,SB11201210071483,F,Stratum 5,PRIVATE,ACADEMIC,60,67,56,75,85,INDUSTRIAL ENGINEERING,343
124,SB11201210071503,M,Stratum 6,PRIVATE,ACADEMIC,65,56,48,66,80,CIVIL ENGINEERING,315
125,SB11201210071542,M,Stratum 5,PRIVATE,ACADEMIC,72,71,61,68,100,INDUSTRIAL ENGINEERING,372
126,SB11201210077469,M,Stratum 3,PRIVATE,ACADEMIC,80,51,59,68,96,INDUSTRIAL ENGINEERING,354
127,SB11201210081023,F,Stratum 3,PRIVATE,ACADEMIC,74,60,64,71,76,CIVIL ENGINEERING,345
128,SB11201210081048,F,Stratum 3,PRIVATE,ACADEMIC,80,64,55,63,58,INDUSTRIAL AUTOMATIC ENGINEERING,
129,SB11201210081170,M,Stratum 3,PRIVATE,TECHNICAL/ACADEMIC,78,68,56,82,64,ELECTRONIC ENGINEERING,348
130,SB11201210082710,F,Stratum 2,PRIVATE,TECHNICAL,62,62,68,60,52,INDUSTRIAL ENGINEERING,304
131,SB11201210085748,M,Stratum 3,PRIVATE,ACADEMIC,46,49,47,51,59,CIVIL ENGINEERING,252
132,SB11201210085752,M,Stratum 2,PRIVATE,ACADEMIC,83,75,72,78,92,CIVIL ENGINEERING,400
133,SB11201210085778,M,Stratum 2,PRIVATE,ACADEMIC,63,57,49,57,76,INDUSTRIAL ENGINEERING,302
134,SB11201210085786,M,Stratum 3,PRIVATE,ACADEMIC,65,58,68,61,71,ELECTRONIC ENGINEERING,323
135,SB11201210085819,M,Stratum 3,PRIVATE,ACADEMIC,60,47,48,58,76,INDUSTRIAL ENGINEERING,289
136,SB11201210085842,M,Stratum 4,PRIVATE,ACADEMIC,72,62,50,70,88,ELECTRONIC ENGINEERING,342
137,SB11201210085909,F,Stratum 4,PRIVATE,ACADEMIC,65,54,65,68,82,CHEMICAL ENGINEERING,334
138,SB11201210085995,M,Stratum 2,PRIVATE,ACADEMIC,69,56,56,74,92,INDUSTRIAL ENGINEERING,347
139,SB11201210086016,M,Stratum 2,PRIVATE,ACADEMIC,69,68,65,68,96,MECHANICAL ENGINEERING,366
140,SB11201210086380,F,Stratum 3,PRIVATE,ACADEMIC,63,60,59,78,67,INDUSTRIAL ENGINEERING,327
141,SB11201210087411,M,Stratum 1,PUBLIC,ACADEMIC,50,47,45,41,43,INDUSTRIAL ENGINEERING,226
142,SB11201210088079,F,Stratum 2,PRIVATE,ACADEMIC,63,54,53,65,57,INDUSTRIAL ENGINEERING,292
143,SB11201210088391,M,Stratum 2,PRIVATE,ACADEMIC,54,49,39,51,55,MECHANICAL ENGINEERING,248
144,SB11201210088475,M,Stratum 4,PRIVATE,ACADEMIC,80,75,74,91,88,ELECTRONIC ENGINEERING,408
145,SB11201210088720,M,Stratum 4,PRIVATE,ACADEMIC,76,60,66,70,96,INDUSTRIAL ENGINEERING,368
146,SB11201210089343,F,Stratum 5,PRIVATE,ACADEMIC,50,51,55,57,60,ELECTRONIC ENGINEERING,273
147,SB11201210089840,M,Stratum 2,PRIVATE,TECHNICAL,83,71,65,78,76,CIVIL ENGINEERING,373
148,SB11201210090046,M,Stratum 4,PRIVATE,ACADEMIC,74,62,53,67,68,CIVIL ENGINEERING,324
149,SB11201210091075,F,Stratum 1,PRIVATE,ACADEMIC,47,43,45,46,46,CIVIL ENGINEERING,227
150,SB11201210092713,M,Stratum 5,PRIVATE,ACADEMIC,69,68,60,76,92,INDUSTRIAL ENGINEERING,365
151,SB11201210093797,F,Stratum 5,PRIVATE,ACADEMIC,65,71,66,81,73,INDUSTRIAL ENGINEERING,
152,SB11201210094432,M,Stratum 4,PRIVATE,ACADEMIC,51,60,42,49,58,CHEMICAL ENGINEERING,260
153,SB11201210094555,M,Stratum 2,PRIVATE,ACADEMIC,58,57,57,68,50,INDUSTRIAL ENGINEERING,290
154,SB11201210094776,F,Stratum 3,PRIVATE,ACADEMIC,51,58,56,48,49,INDUSTRIAL ENGINEERING,262
155,SB11201210096306,M,Stratum 2,PRIVATE,ACADEMIC,51,51,45,38,40,INDUSTRIAL ENGINEERING,225
156,SB11201210096917,F,Stratum 5,PRIVATE,ACADEMIC,72,65,56,68,80,INDUSTRIAL ENGINEERING,341
157,SB11201210097802,M,Stratum 2,PRIVATE,ACADEMIC,74,67,53,63,62,CIVIL ENGINEERING,319
158,SB11201210098095,M,Stratum 3,PRIVATE,ACADEMIC,62,71,68,68,62,MECHANICAL ENGINEERING,331
159,SB11201210098956,M,Stratum 6,PRIVATE,ACADEMIC,88,67,61,73,82,CIVIL ENGINEERING,371
160,SB11201210100306,F,Stratum 3,PRIVATE,TECHNICAL,56,57,57,60,59,INDUSTRIAL ENGINEERING,289
161,SB11201210100368,M,Stratum 2,PRIVATE,ACADEMIC,44,49,49,57,38,INDUSTRIAL ENGINEERING,237
162,SB11201210101239,F,Stratum 5,PRIVATE,TECHNICAL/ACADEMIC,60,49,59,60,40,INDUSTRIAL ENGINEERING,268
163,SB11201210101354,M,Stratum 3,PRIVATE,ACADEMIC,52,55,51,55,44,CIVIL ENGINEERING,257
164,SB11201220000358,M,Stratum 1,PRIVATE,ACADEMIC,53,50,50,58,52,INDUSTRIAL ENGINEERING,263
165,SB11201220001169,F,Stratum 3,PUBLIC,ACADEMIC,62,62,56,60,67,MECHANICAL ENGINEERING,307
166,SB11201220001174,F,Stratum 3,PUBLIC,ACADEMIC,52,62,58,51,54,ELECTRIC ENGINEERING,277
167,SB11201220001265,M,Stratum 3,PUBLIC,ACADEMIC,50,45,55,64,46,CIVIL ENGINEERING,260
168,SB11201220001428,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,58,64,61,62,64,INDUSTRIAL ENGINEERING,309
169,SB11201220001583,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,79,69,69,80,82,MECHANICAL ENGINEERING,379
170,SB11201220001673,F,Stratum 3,PUBLIC,TECHNICAL,68,67,69,67,55,INDUSTRIAL ENGINEERING,326
171,SB11201220001963,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,53,57,52,51,52,ELECTRIC ENGINEERING,265
172,SB11201220002028,M,Stratum 2,PUBLIC,ACADEMIC,62,59,57,58,65,INDUSTRIAL ENGINEERING,301
173,SB11201220002045,M,Stratum 3,PRIVATE,TECHNICAL,53,56,52,53,55,CIVIL ENGINEERING,
174,SB11201220002051,M,Stratum 3,PRIVATE,ACADEMIC,74,57,61,70,49,INDUSTRIAL ENGINEERING,311
175,SB11201220002151,M,Stratum 3,PUBLIC,ACADEMIC,55,51,65,61,53,MECHANICAL ENGINEERING,285
176,SB11201220002188,M,Stratum 2,PRIVATE,ACADEMIC,71,60,57,55,53,INDUSTRIAL ENGINEERING,296
177,SB11201220002193,M,Stratum 3,PRIVATE,ACADEMIC,91,64,72,81,73,INDUSTRIAL ENGINEERING,381
178,SB11201220002194,M,Stratum 2,PRIVATE,ACADEMIC,57,64,66,61,53,ELECTRIC ENGINEERING,301
179,SB11201220002195,M,Stratum 3,PRIVATE,ACADEMIC,71,57,57,68,54,MECHANICAL ENGINEERING,307
180,SB11201220002462,F,Stratum 3,PRIVATE,ACADEMIC,62,67,72,64,60,INDUSTRIAL ENGINEERING,325
181,SB11201220002513,M,Stratum 3,PUBLIC,TECHNICAL,44,49,52,47,43,CIVIL ENGINEERING,235
182,SB11201220002605,F,Stratum 3,PRIVATE,ACADEMIC,59,64,59,58,68,ELECTRIC ENGINEERING,308
183,SB11201220002739,F,Stratum 3,PUBLIC,ACADEMIC,51,56,57,51,68,CIVIL ENGINEERING,283
184,SB11201220002820,M,Stratum 3,PUBLIC,TECHNICAL,80,57,58,72,52,MECHANICAL ENGINEERING,319
185,SB11201220002969,M,Stratum 1,PUBLIC,ACADEMIC,77,72,77,81,60,ELECTRIC ENGINEERING,367
186,SB11201220003632,M,Stratum 3,PUBLIC,ACADEMIC,68,53,53,62,59,MECHANICAL ENGINEERING,295
187,SB11201220003940,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,51,62,57,55,48,INDUSTRIAL ENGINEERING,273
188,SB11201220004052,M,Stratum 1,PUBLIC,TECHNICAL/ACADEMIC,64,58,55,60,64,INDUSTRIAL ENGINEERING,301
189,SB11201220004180,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,59,58,62,64,55,MECHANICAL ENGINEERING,298
190,SB11201220004189,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,59,57,47,47,49,INDUSTRIAL ENGINEERING,259
191,SB11201220004207,M,Stratum 3,PRIVATE,ACADEMIC,62,52,53,65,58,ELECTRIC ENGINEERING,290
192,SB11201220004298,M,Stratum 1,PUBLIC,TECHNICAL/ACADEMIC,58,39,48,53,42,CIVIL ENGINEERING,240
193,SB11201220004745,F,Stratum 4,PRIVATE,TECHNICAL/ACADEMIC,56,48,48,53,43,INDUSTRIAL ENGINEERING,248
194,SB11201220004909,M,Stratum 4,PRIVATE,ACADEMIC,45,41,40,42,52,ELECTRONIC ENGINEERING,220
195,SB11201220004934,F,Stratum 3,PUBLIC,ACADEMIC,72,62,62,72,62,INDUSTRIAL ENGINEERING,330
196,SB11201220004969,M,Stratum 4,PUBLIC,ACADEMIC,76,64,62,61,45,INDUSTRIAL ENGINEERING,308
197,SB11201220005023,F,Stratum 2,PRIVATE,TECHNICAL/ACADEMIC,68,60,62,61,80,CIVIL ENGINEERING,331
198,SB11201220005097,F,Stratum 4,PRIVATE,ACADEMIC,57,48,53,58,65,INDUSTRIAL ENGINEERING,281
199,SB11201220005109,F,Stratum 4,PRIVATE,ACADEMIC,78,57,69,78,76,INDUSTRIAL ENGINEERING,
200,SB11201220005303,M,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,75,74,77,74,67,MECHANICAL ENGINEERING,367
201,SB11201220005372,F,Stratum 1,PUBLIC,TECHNICAL/ACADEMIC,62,69,53,72,53,CIVIL ENGINEERING,309
202,SB11201220005413,M,Stratum 4,PRIVATE,ACADEMIC,64,56,74,65,67,CIVIL ENGINEERING,326
203,SB11201220005416,F,Stratum 6,PRIVATE,TECHNICAL/ACADEMIC,52,81,62,45,67,INDUSTRIAL ENGINEERING,307
204,SB11201220005434,F,Stratum 4,PUBLIC,TECHNICAL/ACADEMIC,67,64,68,66,67,CIVIL ENGINEERING,332
205,SB11201220005447,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,57,54,42,60,45,INDUSTRIAL ENGINEERING,258
206,SB11201220005560,F,Stratum 4,PUBLIC,TECHNICAL/ACADEMIC,59,62,56,59,55,INDUSTRIAL ENGINEERING,291
207,SB11201220005565,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,61,67,57,64,50,CIVIL ENGINEERING,299
208,SB11201220005603,F,Stratum 5,PRIVATE,ACADEMIC,75,64,62,65,78,INDUSTRIAL ENGINEERING,344
209,SB11201220005791,M,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,62,52,56,65,53,INDUSTRIAL ENGINEERING,288
210,SB11201220005867,F,Stratum 6,PRIVATE,ACADEMIC,74,74,72,70,65,INDUSTRIAL ENGINEERING,355
211,SB11201220005873,M,Stratum 6,PRIVATE,ACADEMIC,79,58,62,67,55,MECHATRONICS ENGINEERING,321
212,SB11201220005879,M,Stratum 4,PRIVATE,ACADEMIC,79,67,64,60,76,INDUSTRIAL ENGINEERING,346
213,SB11201220005881,M,Stratum 4,PRIVATE,ACADEMIC,59,60,60,59,60,CIVIL ENGINEERING,298
214,SB11201220006081,M,Stratum 2,PUBLIC,TECHNICAL/ACADEMIC,52,45,52,58,46,ELECTRONIC ENGINEERING,253
215,SB11201220006425,F,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,57,58,66,58,43,INDUSTRIAL ENGINEERING,282
216,SB11201220006429,M,Stratum 3,PUBLIC,TECHNICAL/ACADEMIC,59,52,53,62,53,MECHANICAL ENGINEERING,279
217,SB11201220006525,F,Stratum 4,PUBLIC,TECHNICAL/ACADEMIC,62,60,57,70,80,INDUSTRIAL ENGINEERING,329
